Symbol,Name,Last price,Change,% change,52-week range,Day chart
GBPUSD=X,GBP/USD,1.3046,0.0046,0.3523%,,
GBPEUR=X,GBP/EUR,1.1071,0.0046,0.4172%,,
EURUSD=X,EUR/USD,1.1782,-0.0008,-0.0636%,,
GBPJPY=X,GBP/JPY,137.152,0.738,0.541%,,
JPY=X,USD/JPY,105.128,0.209,0.1992%,,
GBP=X,USD/GBP,0.7665,-0.0026,-0.3355%,,
GBPAUD=X,GBP/AUD,1.8299,0.022,1.2163%,,
GBPBRL=X,GBP/BRL,6.7695,0.0482,0.72%,,
GBPCAD=X,GBP/CAD,1.7554,0.0221,1.2762%,,
GBPCHF=X,GBP/CHF,1.1899,0.0041,0.3458%,,
GBPCNY=X,GBP/CNY,9.1406,0.0382,0.42%,,
GBPINR=X,GBP/INR,97.7757,0.4574,0.47%,,
GBPNOK=X,GBP/NOK,11.9351,0.2034,1.734%,,
GBPQAR=X,GBP/QAR,4.7520,0.0236,0.50%,,
GBPZAR=X,GBP/ZAR,22.0384,0.5628,2.6206%,,
EURCHF=X,EUR/CHF,1.0746,-0.0008,-0.0735%,,
EURCAD=X,EUR/CAD,1.5855,0.0133,0.8485%,,
EURJPY=X,EUR/JPY,123.867,0.147,0.1188%,,
EURSEK=X,EUR/SEK,10.328,0.0539,0.5241%,,
EURHUF=X,EUR/HUF,345.425,0.425,0.1232%,,
CAD=X,USD/CAD,1.3456,0.0123,0.9255%,,
USDHKD=X,USD/HKD,7.7499,0.0003,0.00%,,
USDSGD=X,USD/SGD,1.3764,0.0033,0.24%,,
INR=X,USD/INR,74.928,0.007,0.0093%,,
USDMXN=X,USD/MXN,22.2185,0.2575,1.17%,,
EURJPY=X,EUR/JPY,123.867,0.147,0.1188%,,
CNY=X,USD/CNY,7.003,0.0014,0.02%,,
CHF=X,USD/CHF,0.912,0.00,0.0044%,,
